date,new,total,recovered,dead,first,second
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,1.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-16,1.0,2.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-18,1.0,3.0,0.0,0.0,0.0,0.0
2020-03-19,1.0,4.0,0.0,0.0,0.0,0.0
2020-03-20,2.0,6.0,0.0,0.0,0.0,0.0
2020-03-21,3.0,9.0,0.0,0.0,0.0,0.0
2020-03-22,10.0,19.0,0.0,0.0,0.0,0.0
2020-03-23,13.0,32.0,0.0,0.0,0.0,0.0
2020-03-24,7.0,39.0,0.0,0.0,0.0,0.0
2020-03-25,5.0,44.0,0.0,0.0,0.0,0.0
2020-03-26,9.0,53.0,0.0,0.0,0.0,0.0
2020-03-27,9.0,62.0,0.0,0.0,0.0,0.0
2020-03-28,9.0,71.0,0.0,0.0,0.0,0.0
2020-03-29,6.0,77.0,2.0,0.0,0.0,0.0
2020-03-30,1.0,78.0,2.0,1.0,0.0,0.0
2020-03-31,2.0,80.0,3.0,1.0,0.0,0.0
2020-04-01,4.0,84.0,8.0,1.0,0.0,0.0
2020-04-02,3.0,87.0,11.0,1.0,0.0,0.0
2020-04-03,4.0,91.0,18.0,1.0,0.0,0.0
2020-04-04,2.0,93.0,18.0,2.0,0.0,0.0
2020-04-05,3.0,96.0,28.0,2.0,0.0,0.0
2020-04-06,0.0,96.0,40.0,2.0,0.0,0.0
2020-04-07,1.0,97.0,42.0,2.0,0.0,0.0
2020-04-08,2.0,99.0,47.0,2.0,0.0,0.0
2020-04-09,1.0,100.0,54.0,2.0,0.0,0.0
2020-04-10,2.0,102.0,59.0,2.0,0.0,0.0
2020-04-11,0.0,102.0,62.0,2.0,0.0,0.0
2020-04-12,0.0,102.0,67.0,2.0,0.0,0.0
2020-04-13,1.0,103.0,72.0,2.0,0.0,0.0
2020-04-14,0.0,103.0,75.0,2.0,0.0,0.0
2020-04-15,0.0,103.0,77.0,3.0,0.0,0.0
2020-04-16,0.0,103.0,79.0,3.0,0.0,0.0
2020-04-17,0.0,103.0,81.0,3.0,0.0,0.0
2020-04-18,0.0,103.0,88.0,3.0,0.0,0.0
2020-04-19,0.0,103.0,89.0,3.0,0.0,0.0
2020-04-20,1.0,104.0,91.0,3.0,0.0,0.0
2020-04-21,0.0,104.0,92.0,3.0,0.0,0.0
2020-04-22,0.0,104.0,93.0,3.0,0.0,0.0
2020-04-23,0.0,104.0,93.0,3.0,0.0,0.0
2020-04-24,1.0,105.0,97.0,3.0,0.0,0.0
2020-04-25,1.0,106.0,98.0,3.0,0.0,0.0
2020-04-26,0.0,106.0,99.0,3.0,0.0,0.0
2020-04-27,0.0,106.0,100.0,3.0,0.0,0.0
2020-04-28,0.0,106.0,101.0,3.0,0.0,0.0
2020-04-29,0.0,106.0,101.0,3.0,0.0,0.0
2020-04-30,0.0,106.0,103.0,3.0,0.0,0.0
2020-05-01,0.0,106.0,103.0,3.0,0.0,0.0
2020-05-02,0.0,106.0,103.0,3.0,0.0,0.0
2020-05-03,0.0,106.0,103.0,3.0,0.0,0.0
2020-05-04,1.0,107.0,103.0,3.0,0.0,0.0
2020-05-05,0.0,107.0,103.0,3.0,0.0,0.0
2020-05-06,0.0,107.0,103.0,3.0,0.0,0.0
2020-05-07,0.0,107.0,103.0,3.0,0.0,0.0
2020-05-08,0.0,107.0,103.0,3.0,0.0,0.0
2020-05-09,0.0,107.0,103.0,3.0,0.0,0.0
2020-05-10,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-11,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-12,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-13,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-14,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-15,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-16,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-17,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-18,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-19,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-20,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-21,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-22,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-23,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-24,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-25,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-26,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-27,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-28,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-29,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-30,0.0,107.0,104.0,3.0,0.0,0.0
2020-05-31,0.0,107.0,104.0,3.0,0.0,0.0
2020-06-01,0.0,107.0,104.0,3.0,0.0,0.0
2020-06-02,0.0,107.0,104.0,3.0,0.0,0.0
2020-06-03,0.0,107.0,104.0,3.0,0.0,0.0
2020-06-04,0.0,107.0,104.0,3.0,0.0,0.0
2020-06-05,0.0,107.0,104.0,3.0,0.0,0.0
2020-06-06,0.0,107.0,104.0,3.0,0.0,0.0
2020-06-07,1.0,108.0,104.0,3.0,0.0,0.0
2020-06-08,0.0,108.0,104.0,3.0,0.0,0.0
2020-06-09,0.0,108.0,104.0,3.0,0.0,0.0
2020-06-10,0.0,108.0,104.0,3.0,0.0,0.0
2020-06-11,0.0,108.0,104.0,3.0,0.0,0.0
2020-06-12,0.0,108.0,104.0,3.0,0.0,0.0
2020-06-13,0.0,108.0,104.0,3.0,0.0,0.0
2020-06-14,0.0,108.0,104.0,3.0,0.0,0.0
2020-06-15,0.0,108.0,104.0,3.0,0.0,0.0
2020-06-16,0.0,108.0,104.0,3.0,0.0,0.0
2020-06-17,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-18,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-19,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-20,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-21,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-22,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-23,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-24,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-25,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-26,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-27,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-28,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-29,0.0,108.0,105.0,3.0,0.0,0.0
2020-06-30,0.0,108.0,105.0,3.0,0.0,0.0
2020-07-01,0.0,108.0,105.0,3.0,0.0,0.0
2020-07-02,0.0,108.0,105.0,3.0,0.0,0.0
2020-07-03,0.0,108.0,105.0,3.0,0.0,0.0
2020-07-04,0.0,108.0,105.0,3.0,0.0,0.0
2020-07-05,0.0,108.0,105.0,3.0,0.0,0.0
